sentence_id,documento,orden_frase,tema,keyword_detectada,frase_original,frase_normalizada,n_palabras
filipinas_001857,filipinas,1857,hogar,hogar,"Hay demasiada predisposición para confundirlos sentimientos poéticos con los románticos, lo cual no se explica: los primeros son en el hogar, lo que la música y el incienso en el templo; imprimen á los actos de la vida atractivo dulce y espiritual; son el encanto de la existencia feliz; mientras los segundos producen casi siempre perturbación de ideas, capaz de conducir á funestos extravíos.",hay demasiada predisposicion para confundirlos sentimientos poeticos con los romanticos lo cual no se explica los primeros son en el hogar lo que la musica y el incienso en el templo imprimen a los actos de la vida atractivo dulce y espiritual son el encanto de la existencia feliz mientras los segundos producen casi siempre perturbacion de ideas capaz de conducir a funestos extravios,64
filipinas_001859,filipinas,1859,mujer,mujer,"Sainte Foix ha dicho que, ""el corazón de la mujer es un abismo de amor""'...",sainte foix ha dicho que el corazon de la mujer es un abismo de amor,15
filipinas_001862,filipinas,1862,mujer,mujer,"La mujer tiene siempre una sonrisa para las alegrías, una lágrima para el dolor, un consuelo en las adversidades, una excusa para las faltas; templa el infortnnio y abre espacios ilimitados á la esperanza.",la mujer tiene siempre una sonrisa para las alegrias una lagrima para el dolor un consuelo en las adversidades una excusa para las faltas templa el infortnnio y abre espacios ilimitados a la esperanza,34
filipinas_001863,filipinas,1863,mujer,mujer,"Tal opinan de la compañera del hombre los grandes pensadores, los que con fino escalpelo saben penetrar en el corazón humano, los que descifran los misterios que encierra el corazón de la mujer.",tal opinan de la companera del hombre los grandes pensadores los que con fino escalpelo saben penetrar en el corazon humano los que descifran los misterios que encierra el corazon de la mujer,33
filipinas_001864,filipinas,1864,mujer,mujer,"Según Chateaubriand, ""la mujer esparce en derredor del hombre las flores de la vida, comoesas plantas de los bosques que se enlazan al tronco de las encinas, embelleciéndolas con sus guirnaldas perfumadas"" Por la misma razón de que la mujer es tan necesaria á la vida del hombre, á su bienestar,. á su, condición moral, la menor de sus accioContinúa en la página 39. 28 ""FILIPINAS” Consejos á las madres LA PRIMERA EDUCACIÓN La educación debe comenzar desde que el niño nace.",segun chateaubriand la mujer esparce en derredor del hombre las flores de la vida comoesas plantas de los bosques que se enlazan al tronco de las encinas embelleciendolas con sus guirnaldas perfumadas por la misma razon de que la mujer es tan necesaria a la vida del hombre a su bienestar a su condicion moral la menor de sus acciocontinua en la pagina 39 28 filipinas consejos a las madres la primera educacion la educacion debe comenzar desde que el nino nace,82
filipinas_001864,filipinas,1864,mujer,madres,"Según Chateaubriand, ""la mujer esparce en derredor del hombre las flores de la vida, comoesas plantas de los bosques que se enlazan al tronco de las encinas, embelleciéndolas con sus guirnaldas perfumadas"" Por la misma razón de que la mujer es tan necesaria á la vida del hombre, á su bienestar,. á su, condición moral, la menor de sus accioContinúa en la página 39. 28 ""FILIPINAS” Consejos á las madres LA PRIMERA EDUCACIÓN La educación debe comenzar desde que el niño nace.",segun chateaubriand la mujer esparce en derredor del hombre las flores de la vida comoesas plantas de los bosques que se enlazan al tronco de las encinas embelleciendolas con sus guirnaldas perfumadas por la misma razon de que la mujer es tan necesaria a la vida del hombre a su bienestar a su condicion moral la menor de sus acciocontinua en la pagina 39 28 filipinas consejos a las madres la primera educacion la educacion debe comenzar desde que el nino nace,82
filipinas_001864,filipinas,1864,educacion,educación,"Según Chateaubriand, ""la mujer esparce en derredor del hombre las flores de la vida, comoesas plantas de los bosques que se enlazan al tronco de las encinas, embelleciéndolas con sus guirnaldas perfumadas"" Por la misma razón de que la mujer es tan necesaria á la vida del hombre, á su bienestar,. á su, condición moral, la menor de sus accioContinúa en la página 39. 28 ""FILIPINAS” Consejos á las madres LA PRIMERA EDUCACIÓN La educación debe comenzar desde que el niño nace.",segun chateaubriand la mujer esparce en derredor del hombre las flores de la vida comoesas plantas de los bosques que se enlazan al tronco de las encinas embelleciendolas con sus guirnaldas perfumadas por la misma razon de que la mujer es tan necesaria a la vida del hombre a su bienestar a su condicion moral la menor de sus acciocontinua en la pagina 39 28 filipinas consejos a las madres la primera educacion la educacion debe comenzar desde que el nino nace,82
filipinas_001864,filipinas,1864,religion,moral,"Según Chateaubriand, ""la mujer esparce en derredor del hombre las flores de la vida, comoesas plantas de los bosques que se enlazan al tronco de las encinas, embelleciéndolas con sus guirnaldas perfumadas"" Por la misma razón de que la mujer es tan necesaria á la vida del hombre, á su bienestar,. á su, condición moral, la menor de sus accioContinúa en la página 39. 28 ""FILIPINAS” Consejos á las madres LA PRIMERA EDUCACIÓN La educación debe comenzar desde que el niño nace.",segun chateaubriand la mujer esparce en derredor del hombre las flores de la vida comoesas plantas de los bosques que se enlazan al tronco de las encinas embelleciendolas con sus guirnaldas perfumadas por la misma razon de que la mujer es tan necesaria a la vida del hombre a su bienestar a su condicion moral la menor de sus acciocontinua en la pagina 39 28 filipinas consejos a las madres la primera educacion la educacion debe comenzar desde que el nino nace,82
filipinas_001865,filipinas,1865,educacion,educación,"Todos los sábios, todos los hombres experimentados, todos los maestros de moral, hasta los paganos, así lo han proclamado: el día en que el niño abre por primera vez sus primeros gemidos, se les imponen á cuantos le rodean, una série de deberes concernientes á su educación.",todos los sabios todos los hombres experimentados todos los maestros de moral hasta los paganos asi lo han proclamado el dia en que el nino abre por primera vez sus primeros gemidos se les imponen a cuantos le rodean una serie de deberes concernientes a su educacion,47
filipinas_001865,filipinas,1865,religion,moral,"Todos los sábios, todos los hombres experimentados, todos los maestros de moral, hasta los paganos, así lo han proclamado: el día en que el niño abre por primera vez sus primeros gemidos, se les imponen á cuantos le rodean, una série de deberes concernientes á su educación.",todos los sabios todos los hombres experimentados todos los maestros de moral hasta los paganos asi lo han proclamado el dia en que el nino abre por primera vez sus primeros gemidos se les imponen a cuantos le rodean una serie de deberes concernientes a su educacion,47
