embeddings	type	entity	entity_normalized	entity_normalized_clean	wikidata_qid
36726,36727	PER	AMPARO FERNANDEZ	Amparo Fernandez Náter	Amparo Fernandez Náter	
36736,36737	LOC	SAN JUAN	San Juan	San Juan	
36740,36741,36742,36743	ORG	HERALDO DE LA MUJER	Heraldo de la Mujer	Heraldo de la Mujer	
36745,36746,36747	ORG	Ayuntamiento de Madrid	Ayuntamiento de Madrid	Ayuntamiento de Madrid	
36846,36847,36848,36849	ORG	HERALDO DE LA MUER	Heraldo de la Mujer	Heraldo de la Mujer	
36929,36930,36931	ORG	Ayuntamiento de Madrid	Ayuntamiento de Madrid	Ayuntamiento de Madrid	
36951,36952,36953	MISC	Pomada Cutánea ELITA	Pomada Cutánea FELITA	Pomada Cutánea FELITA	
37008	MISC	LA	LA	La	
37059,37060,37061,37062	ORG	JUAINA DIA DRO CO.	JUAINA DIA DRO CO.	Juaina Dia Dro Co.	
37063,37064	PER	JUANA DIAZ	Juana Díaz	Juana Díaz	Q50019258
37071,37072,37073	ORG	Ayuntamiento de Madrid	Ayuntamiento de Madrid	Ayuntamiento de Madrid	
37111,37112	MISC	RONAL .	Ronal	Ronal	
37114,37115	MISC	BARING PONDER	Royal Baking Powder	Royal Baking Powder	
37131,37132	MISC	Roral Bang	Roral Bang	Roral Bang	
37135	MISC	DEL	DEL	Del	
37144	MISC	RONAL	Ronal	Ronal	
37223,37224,37225,37226,37227,37228,37229	MISC	El Manual Roval del Panadero y pastelero	Manual Royal del Panadero y Pastelero	Manual Royal del Panadero y Pastelero	
37261,37262,37263,37264	ORG	RONAL BARING PONDER CO.	Royal Baking Powder	Royal Baking Powder	
37265,37266	LOC	New York	Nueva York	Nueva York	
37268,37269,37270	LOC	U. S. A	Estados Unidos	Estados Unidos	
37286	MISC	Royal	Royal	Royal	
37311,37312,37313,37314,37315,37316	ORG	EL HAPATO DE LOS NINOS PODRES	EL ZAPATO DE LOS NINOS POBRES	El Zapato de los Ninos Pobres	
37328,37329	LOC	San Juan	San Juan	San Juan	
37377,37378,37379,37380	PER	María T. de Surez	María T. de Suárez	María T. de Suárez	
37394,37395,37396	PER	Emiliano Isales Aduana	Emiliano Isales Aduana	Emiliano Isales Aduana	
37400,37401,37402,37403,37404	PER	Juan Bantista Soto La Torre	Juan Bautista Soto La Torre	Juan Bautista Soto La Torre	
37411,37412,37413,37414	ORG	HERALDO DE LA MUJER	Heraldo de la Mujer	Heraldo de la Mujer	
37417,37418,37419	ORG	Ayuntamiento de Madrid	Ayuntamiento de Madrid	Ayuntamiento de Madrid	
37421,37422,37423,37424	MISC	ILIALDO DE LA IIII	Heraldo de la Mujer	Heraldo de la Mujer	
37429,37430,37431,37432,37433,37434,37435	ORG	DEFENSORA DE LOS DERECHOS DE LA MUJER	Defensora de los Derechos de la Mujer	Revista Mensual Defensora de los Derechos de la Mujer	
37440,37441,37442,37443	PER	ANA ROQUE DE DUPREY	Ana Roqué de Duprey	Ana Roque de Duprey	Q4750492
37479,37480,37481,37482,37483,37484	MISC	La mestre , en el estranjer	La mestre , en el estranjer	La mestre, en el estranjer	
37504,37505	LOC	SAN JUAN	San Juan	San Juan	
37508	LOC	R.	R.	R.	
37529,37530	LOC	San Juan	San Juan	San Juan	
37533	LOC	R.	R.	R.	
37543,37544,37545,37546	PER	Ana Roqué de Duprey	Ana Roqué de Duprey	Ana Roque de Duprey	Q4750492
37547,37548	MISC	CAMPANA ANTITUBERCULOSA	CAMPANA ANTITUBERCULOSA	Campana Antituberculosa	
37550,37551	PER	Amparo Fernandes	Amparo Fernandez Náter	Amparo Fernandez Náter	
37555,37556	MISC	SABIAS MONTANAS	SABIAS MONTANAS	Sabias Montanas	
37559,37560	PER	Concha Meléndes	Concha Meléndez	Concha Meléndez	Q2881387
37563,37564	MISC	EL SAUZAL	EL SAUZAL	El Sauzal	
37566,37567	PER	Carmela Eulate	Carmela Eulate	Carmela Eulate Sanjurjo	Q50672228
37569,37570	MISC	GRAMATICA CASTELLANA	GRAMATICA CASTELLANA	Gramatica Castellana	
37573,37574,37575,37576	PER	Ana Roqué de Duprey	Ana Roqué de Duprey	Ana Roque de Duprey	Q4750492
37586,37587,37588	PER	Laura de Bensac	Laura de Bensac	Laura de Bensac	
37593,37594,37595	PER	Margarita del Prado	Margarita del Prado	Margarita del Prado	
37596,37597,37598	MISC	GOOD RTE FOREVER	GOOD BYE FOREVER	Good Bye Forever	
37602,37603,37604,37605	PER	Ana Roqué de Dubrey	Ana Roqué de Duprey	Ana Roque de Duprey	Q4750492
37611,37612,37613	ORG	Ayuntamiento de Madrid	Ayuntamiento de Madrid	Ayuntamiento de Madrid	
37615,37616,37617,37618	ORG	HERALDO DE LA MUJER	Heraldo de la Mujer	Heraldo de la Mujer	
37623,37624,37625,37626	PER	Ana Roqué de Duprev	Ana Roqué de Duprey	Ana Roque de Duprey	Q4750492
37629,37630	MISC	SIN ALMA	SIN ALMA	Sin Alma	
37631	MISC	GOD	GOD	God	
37634,37635,37636,37637,37638	MISC	EL SECRETO DE UNA SOLTERA	EL SECRETO DE INA SOLTERA	El Secreto de Ina Soltera	
37642,37643,37644,37645	MISC	LA FIESTA DE REYES	LA FIESTA DE REYES	La Fiesta de Reyes	
37676,37677,37678,37679	ORG	Instituto de Bienestar Social	Instituto de Bienestar Social	Instituto de Bienestar Social	
37690,37691	ORG	Casa Reformatoria	Escuela Reformatoria de Mayagüez	Escuela Reformatoria de Mayagüez	
37728,37729,37730,37731	MISC	EL REY DEL MUNDO	EL REY DEL MUNDO	El Rey del Mundo	
37736,37737,37738	MISC	LUZ y SOMBRA	Luz y sombra	Luz y sombra	
37739,37740,37741,37742	MISC	LAS HIAS DEL So.	LAS HIAS DEL SOL	Las Hias del Sol	
37745	MISC	ANDINA	ANDINA	Andina	
37747,37748,37749,37750	MISC	LA VIRGEN DEL MAR	LA VIRGEN DEL MAR	La Virgen del Mar	
37753,37754,37755,37756	MISC	EL RAMO DE LACINTOS	EL RAMO DE LACINTOS	El Ramo de Lacintos	
37758,37759,37760	MISC	FLOR DEL PANTANO	FLOR DEL PANTANO	Flor del Pantano	
37761,37762,37763,37764	MISC	UNA LECCIÓN DE ASTRONOMIA	UNA LECCION DE ASTRONOMIA	Una Leccion de Astronomia	
37765,37766,37767,37768,37769	MISC	LA SERENATA DE LOS ANGELES	LA SERENATA DE LOS ANGELES	La Serenata de los Angeles	
37770,37771,37772,37773	MISC	EL HADA DEL SORATA	EL HADA DEL SORATA	El Hada del Sorata	
37775,37776,37777,37778,37779	MISC	FLABELLA UN LANCE DE CARNAVAL	LANCE DE CARNAVAL	Lance de Carnaval	
37832	LOC	Santurce	Santurce	Santurce	
37834	LOC	Yaco	Yaco	Yaco	
37836	LOC	Manatí	Manatí	Manatí	
37939,37940,37941,37942	ORG	HERALDO DE LA MUJER	Heraldo de la Mujer	Heraldo de la Mujer	
37965	PER	Barceló	Barceló	Antonio Rafael Barceló	Q4776898
37967,37968	PER	Tous Soto	Tous Soto	José Tous Soto	Q6294103
38137	PER	Wilson	Wilson	Woodrow Wilson	Q34296
38271	LOC	Marroecos	Marroecos	Marroecos	
38274	LOC	Turquía	Turquía	Turquía	
38360	LOC	India	India	India	
38381	LOC	Mississippi	Mississippi	Mississippi	
38420,38421	LOC	PUERTO RICO	Puerto Rico	Puerto Rico	
38456,38457	ORG	Puerto Rico	Puerto Rico	Puerto Rico	
38685,38686	LOC	Puerto Rico	Puerto Rico	Puerto Rico	
38691	LOC	Cuba	Cuba	Cuba	
38693	LOC	Panamá	Panamá	Panamá	
38699	LOC	Tejas	Tejas	Tejas	
38701,38702	LOC	Nuevo Méjico	Nuevo Méjico	Nuevo Méjico	
38790,38791	ORG	de Madrid	Madrid	Madrid	
38793,38794,38795,38796	ORG	HERALDO DE LA MUJER	Heraldo de la Mujer	Heraldo de la Mujer	
38875,38876	LOC	Puerto Rico	Puerto Rico	Puerto Rico	
38941,38942,38943,38944	PER	Ana Roqué de Duprer	Ana Roqué de Duprey	Ana Roque de Duprey	Q4750492
39045,39046	LOC	america Espanola	america Espanola	america Espanola	
39051,39052	LOC	Puerto Rico	Puerto Rico	Puerto Rico	
39157,39158,39159	ORG	EL MER .	EL MER .	El Mer.	
39161	ORG	CURIO	CURIO	Curio	
39171	PER	Rapaginar	Rapaginar	Rapaginar	
39196	LOC	Lima	Lima	Lima	
39249	LOC	Lina	Lina	Lina	
39444	PER	Perano	Perano	Perano	
39496	ORG	Conunio	Conunio	Conunio	
39502,39503,39504	ORG	Ayuntamiento de Madrid	Ayuntamiento de Madrid	Ayuntamiento de Madrid	
39510,39511	LOC	Puerto Rico	Puerto Rico	Puerto Rico	
39518,39519,39520	LOC	Montañas de Cavey	Montañas de Cavey	Montañas de Cavey	
39658	MISC	Ciencia	Ciencia	Ciencia	
39663,39664	PER	CONCHA MELENDEZ	Concha Meléndez	Concha Meléndez	Q2881387
39667,39668,39669,39670	MISC	HERALDO DE LA MUJER	Heraldo de la Mujer	Heraldo de la Mujer	
39672,39673,39674	ORG	Ayuntamiento de Madrid	Ayuntamiento de Madrid	Ayuntamiento de Madrid	
39676,39677,39678	PER	DANTE GABRIEL ROSETTI	DANTE GABRIEL ROSETTI	Dante Gabriel Rossetti	Q186748
