embeddings	type	entity	entity_normalized	entity_normalized_clean	wikidata_qid
101608,101609,101610,101611,101612	PER	Dr. Horacio V . Vicioso	Dr. Horacio V . Vicioso	Horacio V. Vicioso	
101614,1016	PER	Pablo Díaz	Pablo Díaz	Pablo Díaz	
101618,1016	PER	Nemen Hawley	Nemen Hawley	Nemen Hawley	
101633,101634,101635	PER	Ana Luisa Hernández	Ana Luisa Hernández	Ana Luisa Hernández	
101666	LOC	Macotís	Macorís	Macorís	
101673,101674,101675	PER	Ana Luisa Hernández	Ana Luisa Hernández	Ana Luisa Hernández	
101700,101701,101702	PER	Mario Caminero Sanchez	Mario Caminero Sánchez	Mario Caminero Sánchez	
101737,1017	LOC	la Romana	La Romana	La Romana	
101768,101769,101770	PER	Petronila Angélica Gómez	Petronila Angélica Gómez	Petronila Angélica Gómez	Q41564582
101784,1018	LOC	La Romana	La Romana	La Romana	
101798,101799,101800,101801,101802	PER	Luisa Ozema Pellerano de Henriquez	Luisa Ozema Pellerano de Henríquez	Luisa Ozema Pellerano de Henríquez	
101828,101829,101830,101831,101832	PER	Luisa Ozema Pellerano de Henríquez	Luisa Ozema Pellerano de Henríquez	Luisa Ozema Pellerano de Henríquez	
101900	PER	Luisa	Luisa	Luisa	
101902,101903,101904,101905,101906	PER	Oze ma Pellerano de Henriquez	Oze ma Pellerano de Henriquez	Luisa Ozema Pellerano de Henríquez	
101918,101919,101920	PER	Luisa Ozema Pellerano	Luisa Ozema Pellerano de Henríquez	Luisa Ozema Pellerano de Henríquez	
101949,102	PER	Federico Henríquez	Federico Henríquez Carvajal	Federico Henríquez y Carvajal	Q19560725
101952	PER	Carvajal	Carvajal	Carvajal	
101971	PER	Luisa	Luisa	Luisa	
102000,102001,102002	PER	Carmen Matilde Mallén	Carmen Matilde Mallén	Carmen Matilde Mallén	
102007,102	PER	V. Chalas	V. Chalas	Juan V. Chalas	
102041	PER	Bobea	Bobea	Bobea	
102050,1021	PER	Joaquín Ma	Joaquin Ma. Bobea	Joaquin Ma. Bobea	
102054	PER	Bobea	Bobea	Bobea	
102070,1021	LOC	Playa Muerta	Playa Muerta	Playa Muerta	
102079,102080,102081	LOC	Playa de Muertos	Playa de Muertos	Playa de Muertos	
102106	PER	Bobea	Bobea	Bobea	
102126,102127,102128,102129	LOC	"Playa de Muertos """	Playa de Muertos	Playa de Muertos	
102155,1022	LOC	Playa Muerta	Playa Muerta	Playa Muerta	
102177	PER	Bobea	Bobea	Bobea	
102231	PER	Bobea	Bobea	Bobea	
102243	ORG	Minerva	Minerva	Minerva	
102262,1023	LOC	Playa Muerta	Playa Muerta	Playa Muerta	
102282	ORG	Fémina	Fémina	Fémina	
102288,102289,102290,102291	PER	Natalia A . García	Natalia Angélica García	Natalia Angélica García	
102302	PER	García	García	García	
102321	MISC	FEMINA	Fémina	Fémina	
102325,1023	MISC	La Salud	La Salud	La Salud	
102332,1023	PER	ARISTIDES DEPRAT	Arístides Deprat	Arístides Deprat	
102335,102336,102337	MISC	Padre B llini	Padre Billini	Billini	
102341	LOC	Santomé	Santomé	Santomé	
102344,1023	LOC	Santo Domino	Santo Domingo	Santo Domingo	
102347,102348,102349	LOC	R . D.	República Dominicana	República Dominicana	
102426	LOC	Marrero	Marrero	Marrero	
102430,1024	LOC	Parque Colón	Parque Colón	Parque Colón	
102434,102435,102436,102437	LOC	Sto . Dgo .	Santo Domingo	Santo Domingo	
102450,102451,102452	ORG	Ureña & Aguiar	Ureña & Aguiar	Ureña & Aguiar	
102484,102485	LOC	Santo Doningo	Santo Domingo	Santo Domingo	
102487,102488	LOC	Rep Dominicana	República Dominicana	República Dominicana	
102495,102496,102497,102498	PER	José E . Fermández	José F. Fernández	José F. Fernández	
102500	PER	TASITO	Tasito	Tasito	
102508,102509,102510	LOC	Calle Rafael Deligue	Calle Rafael Deligne	Calle Rafael Deligne	
102513,102514,102515,102516	LOC	S. P. de Macorís	San Pedro de Macorís	San Pedro de Macorís	
102519,102520,102521,102522	PER	Dr. Juan E. Diaz	Juan E. Díaz	Juan E. Díaz	
102528,102529	LOC	Calle Sánchez	Calle Sánchez	Calle Sánchez	
102535,102536	LOC	Quiterio Berroa	Quiterio Berroa	Quiterio Berroa	
102541,102542,102543,102544	LOC	San Pedro de Macoris	San Pedro de Macorís	San Pedro de Macorís	
102576,102577	MISC	Café Nadal	Café Nadal	Café Nadal	
102595,102596	LOC	Avenida España	Avenida España	Avenida España	
102599	LOC	Hostos	Hostos	Hostos	
102602,102603,102604,102605	LOC	S. P. de Macorís	San Pedro de Macorís	San Pedro de Macorís	
102619,102620	MISC	LA HABANERA	La Habanera	La Habanera	
102639,102640,102641	ORG	LEBRON & CO.	LEBRON & CO.	Lebron & Co.	
102653,102654	LOC	Santo Domingo	Santo Domingo	Santo Domingo	
102691	MISC	REMINGTON	Remington	Remington	
102712,102713,102714,102715	ORG	CLUB FEMENNO DE CUBA	Club Femenino de Cuba	Club Femenino de Cuba	
102717,102718,102719,102720	PER	Pilar Jorge de Tella	PILAR JORGE DE TELLA	Pilar Jorge de Tella	Q16618994
102726,102727,102728	PER	Miguel A. Guerrero	Miguel A. Guerrero	Miguel A. Guerrero	
102733	MISC	OBSESION	OBSESION	Obsesion	
102735,102736,102737,102738	PER	M . A Peguero	M. A. Peguero	A. Peguero	
102743,102744,102745	PER	MARIA CRISTINA GODOY	MARIA CRISTINA GODOY	Maria Cristina Godoy	
102747,102748	PER	Enrique Cambier	Enrique Cambier	Enrique Cambier	
102755,102756	PER	Alejandro Carrera	Alejandro Carrera	Alejandro Carrera	
102763,102764,102765	PER	Beatriz del Dante	Beatriz del Dante	Beatriz del Dante	
102773,102774,102775	PER	María di Sorrento	MARIA DI SORRENTO	Maria di Sorrento	
102780,102781	PER	Edmundo Saint-Denis	Edmundo Saint Denís	Edmundo Saint Denís	
102792,102793	PER	Fedora Mendoza	Fedora Mendoza	Fedora Mendoza	
102806	ORG	Esperanza	Esperanza	Esperanza	
102809,102810,102811,102812,102813	LOC	Lic . José María Caminero	José María Caminero	José María Caminero	
102850,102851	LOC	Arzobispo Portes'	Arzobispo Portes	Portes	
102858,102859	LOC	Santo Domingo	Santo Domingo	Santo Domingo	
102862,102863,102864,102865	ORG	"Farmacia  Miramar """""""	Farmacia Miramar	Farmacia Miramar	
102866,102867,102868,102869,102870,102871	ORG	V. Diaz Ordoñez & Co. S.	Díaz Ordóñez & Co.	Díaz Ordóñez & Co.	
102884,102885,102886,102887	LOC	San Pedro de Macoris	San Pedro de Macorís	San Pedro de Macorís	
102890,102891,102892,102893,102894	LOC	La Esquina de M. Amaral	La Esquina de M. Amaral	La Esquina de M. Amaral	
102925	LOC	Duvergé	Duvergé	Duvergé	
102930,102931,102932,102933	LOC	José Reyes No .	José Reyes	José Reyes	
102937,102938,102939,102940,102941	ORG	Botica “ San Pedro ”	Botica “ San Pedro ”	Botica San Pedro	
102946,1029	PER	Godofredo Canino	Godofredo Canino	Godofredo Canino	
102966,103	ORG	Remedios NYAL	Remedios Nyal	Remedios Nyal	
102970	LOC	Independencia	Independencia	Independencia	
102972,102973,102974,102975	LOC	San Pedro de Macoris	San Pedro de Macorís	San Pedro de Macorís	
102986,102987,102988,102989,102990	PER	Manuel A . Pérez Salazar	Manuel A . Pérez Salazar	Manuel A. Pérez Salazar	
103002,103003,103004,103005	LOC	San Pedro de Macoris	San Pedro de Macorís	San Pedro de Macorís	
103031,103032,103033,103034	LOC	Doña América de Faxas	América de Faxas	América de Faxas	
103040	LOC	Duarte	Duarte	Duarte	
103043,103044,103045,103046	LOC	S. P. de Macoris	San Pedro de Macorís	San Pedro de Macorís	
103049,103050,103051,103052	PER	Juan A . Hernández	Juan A . Hernández	Juan A. Hernández	
103058	MISC	Colón	Cristóbal Colón	Cristóbal Colón	
103063,103064,103065,103066	LOC	San Pedro de Macorís	San Pedro de Macorís	San Pedro de Macorís	
103079	MISC	FEMINA	Fémina	Fémina	
103097,103098,103099	PER	PETRONILA ANGELICA GOMEZ	Petronila Angélica Gómez	Petronila Angélica Gómez	Q41564582
103106,103107,103108,103109,103110,103111	PER	MARIA L . ANGELIS DE CANINOS	María Luisa Angelis de Canino	María Luisa Angelis de Canino	
103112,103113,103114,103115	PER	PETRONILA A . GOMEZ	Petronila Angélica Gómez	Petronila Angélica Gómez	Q41564582
103117,103118,103119,103120	PER	CONSUELO MONTALVO DE FRIAS	Consuelo Montalvo de Frías	Consuelo Montalvo de Frías	
103125,103126,103127,103128	LOC	San Pedro de Macorís	San Pedro de Macorís	San Pedro de Macorís	
103138,1031	LOC	LA ROMANA	La Romana	La Romana	
103302	MISC	Cabildo	Cabildo	Cabildo	
103317	MISC	Dios	Dios	Dios	
103354,1034	PER	BLANCA PIÑEYRO	Blanca Piñeyro	Blanca Piñeyro	
103379,1034	LOC	La Romana	La Romana	La Romana	
103390	ORG	Fémina	Fémina	Fémina	
103422,103423,103424	PER	Petronila Angélica Gómez	Petronila Angélica Gómez	Petronila Angélica Gómez	Q41564582
103444,1034	LOC	La Romana	La Romana	La Romana	
103459,103460,103461	PER	Montalvo de Frías	Montalvo de Frías	Consuelo Montalvo de Frías	
103463,103464,103465	PER	Angelis de Canino	María Luisa Angelis de Canino	María Luisa Angelis de Canino	
103479,1035	PER	Enrique Cambier	Enrique Cambier	Enrique Cambier	
103484,1035	ORG	La Lucha	La Lucha	La Lucha	
103488,1035	PER	J. Veloz	J. Veloz	Jeury Veloz	Q100561426
103494,1035	ORG	La Tarde	La Tarde	La Tarde	
103498,1035	PER	Porfirio Febles	Porfirio Febles	Porfirio Febles	
103501,103502,103503,103504	PER	Manuel de Jesús Pérez	Manuel de Jesús Pérez	Manuel de Jesús Pérez	
103506,1035	PER	Baudilio Ortiz	Baudilio Ortiz	Baudilio Ortiz	
103526	ORG	Fémina	Fémina	Fémina	
103537	ORG	Fémina	Fémina	Fémina	
103548,103549,103550,103551,103552	MISC	"CLUB FEMENINO DE CUBA """	Club Femenino de Cuba	Club Femenino de Cuba	
103555,103556,103557,103558	PER	PILAR JORGE DE TELLA	PILAR JORGE DE TELLA	Pilar Jorge de Tella	Q16618994
103573,103574,103575,103576	ORG	Club Femenino de Cuba	Club Femenino de Cuba	Club Femenino de Cuba	
103601,1036	PER	Arturo Montori	Arturo Montori	Arturo Montori	Q133483199
103706,103707,103708	PER	Emilia Pardo Bazán	Emilia Pardo Bazán	Emilia Pardo Bazán	Q275929
103828,103829,103830	ORG	ClubFemenino de Cuba	Club Femenino de Cuba	Club Femenino de Cuba	
103892,1039	PER	Arturo Monto	Arturo Montori	Arturo Montori	Q133483199
104275	PER	NAPOLEON	Napoleón Bonaparte	Napoleón Bonaparte	
104286	PER	Napoleón	Napoleón Bonaparte	Napoleón Bonaparte	
104321,1043	PER	Carlos Bonaparte	Carlos Bonaparte	Carlos Bonaparte	
104324	LOC	Paris	París	París	
104333	LOC	Brennes	Brennes	Brennes	
104342	PER	Bonaparte	Napoleón Bonaparte	Napoleón Bonaparte	
104361	LOC	Niza	Niza	Niza	
104368	LOC	Italia	Italia	Italia	
104378	LOC	Eliopolis	Eliopolis	Eliopolis	
104387,104388,104389	PER	duque de Enghien	Duque de Enghien	Duque de Enghien	
104393	LOC	Vincennes	Vincennes	Vincennes	
104404,104405,104406	PER	Carlos de España	Carlos de España	Carlos de España	
104416	LOC	Abensberg.	Abensberg	Abensberg	
104427	LOC	Roma	Roma	Roma	
104444	PER	Napoleón	Napoleón Bonaparte	Napoleón Bonaparte	
104447	LOC	París	París	París	
104457,1045	LOC	Santa Elena	Santa Elena	Santa Elena	
104482,1045	PER	Luis XVIII	Luis XVIII	Louis XVIII of France	Q7750
104486	LOC	Colmar	Colmar	Colmar	
104540,1045	PER	Gerónimo Bonaparte	Gerónimo Bonaparte	Gerónimo Bonaparte	
104546	LOC	Westfalia	Westfalia	Westfalia	
104554,1046	PER	Pío VII	Pío VII	Pius VII	Q124754
104558	PER	Napoleón	Napoleón Bonaparte	Napoleón Bonaparte	
104567	PER	Napoleón	Napoleón Bonaparte	Napoleón Bonaparte	
104571	LOC	Madrid	Madrid	Madrid	
104581	PER	Napoleón	Napoleón Bonaparte	Napoleón Bonaparte	
104596	PER	Bonaparte	Napoleón Bonaparte	Napoleón Bonaparte	
104610	PER	Napoleón	Napoleón Bonaparte	Napoleón Bonaparte	
104628	PER	Josefina	Josefina	Josefina	
104637	PER	Napoleón	Napoleón Bonaparte	Napoleón Bonaparte	
104639	LOC	Mosea	Mosea	Mosea	
104648	LOC	Tolon	Tolon	Tolon	
104650	PER	Bonaparte	Napoleón Bonaparte	Napoleón Bonaparte	
104693	PER	Napoleón	Napoleón Bonaparte	Napoleón Bonaparte	
104696,1047	PER	María Luisa	María Luisa	María Luisa Oliver	
104699	PER	Metternich	Metternich	Metternich	
104714	LOC	Mosca	Mosca	Mosca	
104723	PER	Moreau	Moreau	Moreau	
104729,1047	LOC	Santa Elena	Santa Elena	Santa Elena	
104735	PER	Montholou	Montholou	Montholou	
104740	PER	Marchaud	Marchaud	Marchaud	
104747	PER	Massena	Massena	Massena	
104749	PER	Mortier	Mortier	Mortier	
104751	PER	Marmont	Marmont	Auguste de Marmont	Q312676
104753	PER	Macdonald	Macdonald	Macdonald	
104755	PER	Murat	Murat	Murat	
104757	PER	Moncey	Moncey	Bon-Adrien Jeannot de Moncey	Q350662
104760	LOC	Milán	Milán	Milán	
104770	LOC	Mosca	Mosca	Mosca	
104877,1049	PER	Zacarias Werner	Zacarias Werner	Zacarias Werner	
104890	LOC	Alemania	Alemania	Alemania	
104898,104899,104900	PER	MARIA DI SORRENTO	MARIA DI SORRENTO	Maria di Sorrento	
104903	LOC	Barahona	Barahona	Barahona	
104983,105	PER	Arturo Montori	Arturo Montori	Arturo Montori	Q133483199
105063	PER	MICHELET	MICHELET	Michelet	
105113,105114,105115,105116	PER	VIZCONDE DE SAN JAVIER	Vizconde de San Javier	Vizconde de San Javier	
105132,1051	PER	Mendoza Gómez	Mendoza Gómez	Mendoza Gómez	
105244,105245,105246	PER	MIGUEL A. GUERRERO	Miguel A. Guerrero	Miguel A. Guerrero	
105251	LOC	Macoris	San Pedro de Macorís	San Pedro de Macorís	
105532,105533,105534,105535	PER	M. A . PEGUERO	M. A. Peguero	A. Peguero	
105557	ORG	Macoris	San Pedro de Macorís	San Pedro de Macorís	
105562	PER	Colectiva	Colectiva	Colectiva	
105564	PER	Guilfuchi	Guilfuchi	Guilfuchi	
105592	MISC	Ocaso	Ocaso	Ocaso	
105644	MISC	Torre	Torre	Torre	
105734,105735,105736	PER	BEATRIZ DEL DANTE	Beatriz del Dante	Beatriz del Dante	
105739,1057	LOC	Boca Chica	Bocachica	Bocachica	
106097,1061	PER	EDMUNDO SAINT-DENíS	Edmundo Saint Denís	Edmundo Saint Denís	
106101,1061	LOC	San Cristóbal	San Cristóbal	San Cristóbal	
106116,106117,106118	PER	ALEJANDRO CABRERA REYES	Alejandro Cabrera Reyes	Alejandro Cabrera Reyes	
106124	PER	Paula	Paula	Paula	
106138	PER	Niklos	Niklos	Niklos	
106145	PER	Paula	Paula	Paula	
106162	PER	Niklos	Niklos	Niklos	
106185	PER	Paula	Paula	Paula	
106224	PER	Niklos	Niklos	Niklos	
106238	PER	Nikios	Niklos	Niklos	
106249	PER	Paula	Paula	Paula	
106256	PER	Niklos	Niklos	Niklos	
106264	PER	Paula	Paula	Paula	
106308	PER	Nikios	Niklos	Niklos	
106321	PER	Paula	Paula	Paula	
106424	PER	NikIOS.	Niklos	Niklos	
106443	PER	Paula	Paula	Paula	
106462	PER	Niklos	Niklos	Niklos	
106473	PER	Paula	Paula	Paula	
106549	PER	Niklos	Niklos	Niklos	
106583	PER	Nikios	Niklos	Niklos	
106602	PER	Paula	Paula	Paula	
106622	PER	Niklos	Niklos	Niklos	
106709	PER	Paula	Paula	Paula	
106722	PER	Nikios	Niklos	Niklos	
106759	PER	Paula	Paula	Paula	
