sentence_id,documento,orden_frase,tema,keyword_detectada,frase_original,frase_normalizada,n_palabras,n_positivo,n_negativo,polaridad_bruta,polaridad_normalizada,etiqueta_polaridad,palabras_positivas_detectadas,palabras_negativas_detectadas
femina_000023,femina,23,colonialismo,independencia,"Porque la mujer amó el heroismo, los hombres fueron héroes, porque la mujer amó la poesía, los hombres cantaron, porque la mujer amó a la Patria, los hombres fueron patriotas, y supieron tener esos bellos gestos que se agrandan y se eternizan en el tiempo La página mas bella en la historia de la independencia de todos los pueblos la escribió siempre la mano blanca y pura de una mujer.",porque la mujer amo el heroismo los hombres fueron heroes porque la mujer amo la poesia los hombres cantaron porque la mujer amo a la patria los hombres fueron patriotas y supieron tener esos bellos gestos que se agrandan y se eternizan en el tiempo la pagina mas bella en la historia de la independencia de todos los pueblos la escribio siempre la mano blanca y pura de una mujer,70,4,0,4,0.0571428571428571,positiva,bella; bellos; heroismo; pura,
femina_000612,femina,612,colonialismo,independencia,"Virgen excelsa, madre inmaculada, ave mística y flor de la inocencia, a cuya sola invocación sagrada derrama el cielo amor, paz y clemencia: Préstale auxilio á tu grey amada! Dá á tu pueblo infeliz la independencia! TRINA MOYA DE VAZQUEZ. ater Purisima A Fray Juanito de trera.",virgen excelsa madre inmaculada ave mistica y flor de la inocencia a cuya sola invocacion sagrada derrama el cielo amor paz y clemencia prestale auxilio a tu grey amada da a tu pueblo infeliz la independencia trina moya de vazquez ater purisima a fray juanito de trera,47,4,0,4,0.0851063829787234,positiva,amada; amor; paz; sagrada,
femina_004269,femina,4269,colonialismo,ocupación,"Al hombre también le enseñará que no tiene razón en temer los efectos que puedan derivarse de la igualdad de derechos que su compañera en especie debe disfrutar, pues el desenvolvimiento de la civilización demuestra que la naturaleza es prodiga en el empleo de las actividades del hombre y a medida que la humanidad se reproduce y se extiende por todas partes de nuestro planeTa, vemos como despierta y agudiza la inteligencia á sus moradores y les abre nuevas orientaciones en donde encuentra ocupación la energía humana.",al hombre tambien le ensenara que no tiene razon en temer los efectos que puedan derivarse de la igualdad de derechos que su companera en especie debe disfrutar pues el desenvolvimiento de la civilizacion demuestra que la naturaleza es prodiga en el empleo de las actividades del hombre y a medida que la humanidad se reproduce y se extiende por todas partes de nuestro planeta vemos como despierta y agudiza la inteligencia a sus moradores y les abre nuevas orientaciones en donde encuentra ocupacion la energia humana,87,4,0,4,0.0459770114942528,positiva,civilizacion; despierta; inteligencia; razon,
femina_006755,femina,6755,colonialismo,independencia,"Manueli Rojas, que al ser sorprendida leyendo una carta comprometedora para la causa de la libertad, no vaciló en tragársela antes que entregarla, después de lo cual dijo burlonamente a su perseguidor: ""Ahora si quereissaber lo que decía, hacedme la autosia”, y muchas otras que contribuyeron con su heroismo al triunfo de la independencia.",manueli rojas que al ser sorprendida leyendo una carta comprometedora para la causa de la libertad no vacilo en tragarsela antes que entregarla despues de lo cual dijo burlonamente a su perseguidor ahora si quereissaber lo que decia hacedme la autosia y muchas otras que contribuyeron con su heroismo al triunfo de la independencia,54,3,0,3,0.0555555555555555,positiva,heroismo; libertad; triunfo,
femina_001472,femina,1472,colonialismo,estados unidos,"Hemos establecido comparaciones entre el feminismo de las naciones mas civilizadas, desde Francia, donde surgió en 178. hasta los Estados Unidos de América donde impera y se abre paso en el presente, y debemos confesar que adelanta orientándose por la senda de la perfección y modifica sus tendencias en sentido tan razonable que merece el apoyo y adhesión del sexo contrario, y surgen las defensas en pro de la noble causa.",hemos establecido comparaciones entre el feminismo de las naciones mas civilizadas desde francia donde surgio en 178 hasta los estados unidos de america donde impera y se abre paso en el presente y debemos confesar que adelanta orientandose por la senda de la perfeccion y modifica sus tendencias en sentido tan razonable que merece el apoyo y adhesion del sexo contrario y surgen las defensas en pro de la noble causa,71,2,0,2,0.028169014084507,positiva,noble; razonable,
femina_005982,femina,5982,colonialismo,independencia,"Precisamente en estos últimos tiempos, cuando ya se acusaba reciamente la manumisión intelectual de la mujer con tantos libros, conferencias, catedras y periódicos inspirados o regentados por intelectualidades femeninas; cuando también se insinuaba su emancipación económica con tantas nuevas profesiones exclusivamente o principalmente femeninas, como las institutrices, mecanografas, contables, etc., cuando se empezaba á implantar su independencia social con tanta y tanta chambre meublecuartitos baratos y vida femenina aparte del hogar paterno, precisamente entonces surgen, pseudo ironía ó pseudo ciencia—, las dos caretas antifeministas.",precisamente en estos ultimos tiempos cuando ya se acusaba reciamente la manumision intelectual de la mujer con tantos libros conferencias catedras y periodicos inspirados o regentados por intelectualidades femeninas cuando tambien se insinuaba su emancipacion economica con tantas nuevas profesiones exclusivamente o principalmente femeninas como las institutrices mecanografas contables etc cuando se empezaba a implantar su independencia social con tanta y tanta chambre meublecuartitos baratos y vida femenina aparte del hogar paterno precisamente entonces surgen pseudo ironia o pseudo ciencia las dos caretas antifeministas,84,2,0,2,0.0238095238095238,positiva,ciencia; vida,
femina_006753,femina,6753,colonialismo,independencia,"La mujer chilena se ha distinguido siempre por su refinada cultura, su energía varonil y su gran corazón; en el pasado, brillafon los nombres de Doña María Cotapos y Javiera Carreras, esposa una y hermana la otra de Juan José Carreras, prócer de la independencia; Rosario Rosales, que niña aun burló a las autoridades españolas para acompañar al destierro a su anciano padre.",la mujer chilena se ha distinguido siempre por su refinada cultura su energia varonil y su gran corazon en el pasado brillafon los nombres de dona maria cotapos y javiera carreras esposa una y hermana la otra de juan jose carreras procer de la independencia rosario rosales que nina aun burlo a las autoridades espanolas para acompanar al destierro a su anciano padre,63,2,0,2,0.0317460317460317,positiva,cultura; distinguido,
femina_006774,femina,6774,colonialismo,independencia,"Un inteligente y joven abogado cuyo nombre no se podía dejar en el tintero al escribir de estas cosas, hizo por medio de la prensa una activa campaña en pro de los derechos civiles de la mujer, y hoy día, tres señores senadores, que son tres eminencias en las actividades políticas del pais, han presentado al senado los proyectos de leyes que le darán la independencia económica y la colocarán en el marco que requiere su cultura del hoy.",un inteligente y joven abogado cuyo nombre no se podia dejar en el tintero al escribir de estas cosas hizo por medio de la prensa una activa campana en pro de los derechos civiles de la mujer y hoy dia tres senores senadores que son tres eminencias en las actividades politicas del pais han presentado al senado los proyectos de leyes que le daran la independencia economica y la colocaran en el marco que requiere su cultura del hoy,79,2,0,2,0.0253164556962025,positiva,cultura; inteligente,
femina_002173,femina,2173,educacion,escuela,"Tiendo la vista, por ejemplo, á mis años perdidos, al cautiverio de mi niñez asida al banco de la escuela, i veo alzarse horripilante la figura castigadolabras el célebre ""Epur si muove de Galileo.",tiendo la vista por ejemplo a mis anos perdidos al cautiverio de mi ninez asida al banco de la escuela i veo alzarse horripilante la figura castigadolabras el celebre epur si muove de galileo,34,0,1,-1,-0.0294117647058823,negativa,,cautiverio
femina_002740,femina,2740,educacion,lectura,"Pérez, direo, tor de la prestigiosa revista La Cuna de America, aparece reproducido en esta edición el precioso artículo intitulado Patria que es una página inspirada en el mal sentido patriotismo, uya lectura recomendamos á nuestros lectores.",perez direo tor de la prestigiosa revista la cuna de america aparece reproducido en esta edicion el precioso articulo intitulado patria que es una pagina inspirada en el mal sentido patriotismo uya lectura recomendamos a nuestros lectores,37,0,1,-1,-0.027027027027027,negativa,,mal
