sentence_id,documento,orden_frase,tema,keyword_detectada,frase_original,frase_normalizada,n_palabras
femina_000253,femina,253,mujer,madres,"Raza de madres fecundas, las que inspiran al poeta, Que la mente allí concreto por lo bello e ideal, Seres que tejen banderas con las caras á los mares Con recuerdos á millares de sus Hijas sin rival.",raza de madres fecundas las que inspiran al poeta que la mente alli concreto por lo bello e ideal seres que tejen banderas con las caras a los mares con recuerdos a millares de sus hijas sin rival,38
femina_000253,femina,253,raza,raza,"Raza de madres fecundas, las que inspiran al poeta, Que la mente allí concreto por lo bello e ideal, Seres que tejen banderas con las caras á los mares Con recuerdos á millares de sus Hijas sin rival.",raza de madres fecundas las que inspiran al poeta que la mente alli concreto por lo bello e ideal seres que tejen banderas con las caras a los mares con recuerdos a millares de sus hijas sin rival,38
femina_000253,femina,253,hogar,hijas,"Raza de madres fecundas, las que inspiran al poeta, Que la mente allí concreto por lo bello e ideal, Seres que tejen banderas con las caras á los mares Con recuerdos á millares de sus Hijas sin rival.",raza de madres fecundas las que inspiran al poeta que la mente alli concreto por lo bello e ideal seres que tejen banderas con las caras a los mares con recuerdos a millares de sus hijas sin rival,38
femina_000254,femina,254,raza,raza,"Raza fuerte de conquistás y de grandes ilusiones, Son de amor tus corazones y tu amor me inspira á mí, Raza de gloria y trabajo, para mí vuestros amores, Para voz todas mis flores, por eso te quiero á tí....",raza fuerte de conquistas y de grandes ilusiones son de amor tus corazones y tu amor me inspira a mi raza de gloria y trabajo para mi vuestros amores para voz todas mis flores por eso te quiero a ti,40
femina_000269,femina,269,patria,patria,"Como somos fervientes simpatizadoras de todo lo que contribuya al ornato de las ciudades, hemos visto con pesar el abandono de que es obicto el antiguo parque Salvado, y aunque se le han lecho algunas reparaciones, no encontramos esto suficiente, tratándose de un lugar en donde están expuestos á la veneración los bustos de los Padres de la Patria; además de encontrarse dicho parque frente á nuestro modermo templo, que realza con sus gallardos paredones la pintoresca entrada de la ciudad del Higuamo.",como somos fervientes simpatizadoras de todo lo que contribuya al ornato de las ciudades hemos visto con pesar el abandono de que es obicto el antiguo parque salvado y aunque se le han lecho algunas reparaciones no encontramos esto suficiente tratandose de un lugar en donde estan expuestos a la veneracion los bustos de los padres de la patria ademas de encontrarse dicho parque frente a nuestro modermo templo que realza con sus gallardos paredones la pintoresca entrada de la ciudad del higuamo,83
femina_000276,femina,276,mujer,damas,Tenemos en cartera delicados trabajos literarios de distinguidas damas macorisanas.,tenemos en cartera delicados trabajos literarios de distinguidas damas macorisanas,10
femina_000280,femina,280,patria,patria,"Evangelina Rodriguez, quien busca hoy en la patria de itor Hugo luz y mas luz que derramar mas tarde en el suelo de su patria Dominicana.",evangelina rodriguez quien busca hoy en la patria de itor hugo luz y mas luz que derramar mas tarde en el suelo de su patria dominicana,26
femina_000283,femina,283,mujer,femenina,"Por la premura de entregarnos nuestra pasada edición, en los trabajos de colaboración femenina se deslizaron algunas faltas de puntuación, que esperamos el lector haya subsanado. mina inafame.",por la premura de entregarnos nuestra pasada edicion en los trabajos de colaboracion femenina se deslizaron algunas faltas de puntuacion que esperamos el lector haya subsanado mina inafame,28
femina_000296,femina,296,mujer,mujer,"Sabemos que la simpática María Luisa ha presentado en sus exámenes preciosos trabajos que ponen muy en alto el nombre de la mujer dominicana, y el de la Escuela en que hizo su aprendizaje.",sabemos que la simpatica maria luisa ha presentado en sus examenes preciosos trabajos que ponen muy en alto el nombre de la mujer dominicana y el de la escuela en que hizo su aprendizaje,34
femina_000296,femina,296,educacion,escuela,"Sabemos que la simpática María Luisa ha presentado en sus exámenes preciosos trabajos que ponen muy en alto el nombre de la mujer dominicana, y el de la Escuela en que hizo su aprendizaje.",sabemos que la simpatica maria luisa ha presentado en sus examenes preciosos trabajos que ponen muy en alto el nombre de la mujer dominicana y el de la escuela en que hizo su aprendizaje,34
femina_000297,femina,297,educacion,cultura,"Sea bienvenida, y que siga conquistando lauros en su carrera por el campo de la cultura.",sea bienvenida y que siga conquistando lauros en su carrera por el campo de la cultura,16
femina_000319,femina,319,hogar,casa,"Cualquier cosa que Vd, desee, nueva, de medio uso o vieja acuda a esta casa.",cualquier cosa que vd desee nueva de medio uso o vieja acuda a esta casa,15
femina_000355,femina,355,patria,pueblo,"FIN l damos credito á las palabras de los ilustres compatriotas que últimamente acudieron a Washing C. ton para solucionar nuestro caso. va la Intervención está tocando a su fin, va el pueblo dominicano, el pueblo mártir y noble, que oponiendo su derecho a la fuerza y la injusticia ha soportado con pasmosa entereza el inmenso dolor de una terrible servidumbre, se halla proximo a gozar del incomparable bien de su libertad en mal hora arrebatada.",fin l damos credito a las palabras de los ilustres compatriotas que ultimamente acudieron a washing c ton para solucionar nuestro caso va la intervencion esta tocando a su fin va el pueblo dominicano el pueblo martir y noble que oponiendo su derecho a la fuerza y la injusticia ha soportado con pasmosa entereza el inmenso dolor de una terrible servidumbre se halla proximo a gozar del incomparable bien de su libertad en mal hora arrebatada,76
femina_000355,femina,355,colonialismo,intervención,"FIN l damos credito á las palabras de los ilustres compatriotas que últimamente acudieron a Washing C. ton para solucionar nuestro caso. va la Intervención está tocando a su fin, va el pueblo dominicano, el pueblo mártir y noble, que oponiendo su derecho a la fuerza y la injusticia ha soportado con pasmosa entereza el inmenso dolor de una terrible servidumbre, se halla proximo a gozar del incomparable bien de su libertad en mal hora arrebatada.",fin l damos credito a las palabras de los ilustres compatriotas que ultimamente acudieron a washing c ton para solucionar nuestro caso va la intervencion esta tocando a su fin va el pueblo dominicano el pueblo martir y noble que oponiendo su derecho a la fuerza y la injusticia ha soportado con pasmosa entereza el inmenso dolor de una terrible servidumbre se halla proximo a gozar del incomparable bien de su libertad en mal hora arrebatada,76
femina_000356,femina,356,patria,pueblo,"Lo que en la negra desgracia ha sido esperanza consoladora para nuestro pueblo, será bien pronto, a juicio de los insignes representativos, un hecho, una realidad hermosa.",lo que en la negra desgracia ha sido esperanza consoladora para nuestro pueblo sera bien pronto a juicio de los insignes representativos un hecho una realidad hermosa,27
femina_000356,femina,356,raza,negra,"Lo que en la negra desgracia ha sido esperanza consoladora para nuestro pueblo, será bien pronto, a juicio de los insignes representativos, un hecho, una realidad hermosa.",lo que en la negra desgracia ha sido esperanza consoladora para nuestro pueblo sera bien pronto a juicio de los insignes representativos un hecho una realidad hermosa,27
femina_000357,femina,357,raza,blanca,"¡Oialá que así sea! ¡Ojalá que, desoyendo la Casa blanca los aviesos consejos del imperialismo, que tanto recelo y desconfianza ha despertado contra los EE.",oiala que asi sea ojala que desoyendo la casa blanca los aviesos consejos del imperialismo que tanto recelo y desconfianza ha despertado contra los ee,25
femina_000357,femina,357,hogar,casa,"¡Oialá que así sea! ¡Ojalá que, desoyendo la Casa blanca los aviesos consejos del imperialismo, que tanto recelo y desconfianza ha despertado contra los EE.",oiala que asi sea ojala que desoyendo la casa blanca los aviesos consejos del imperialismo que tanto recelo y desconfianza ha despertado contra los ee,25
femina_000357,femina,357,colonialismo,imperialismo,"¡Oialá que así sea! ¡Ojalá que, desoyendo la Casa blanca los aviesos consejos del imperialismo, que tanto recelo y desconfianza ha despertado contra los EE.",oiala que asi sea ojala que desoyendo la casa blanca los aviesos consejos del imperialismo que tanto recelo y desconfianza ha despertado contra los ee,25
femina_000359,femina,359,patria,nacional,"Como todos los dominicanos se encuentran vivamente deseosos de que cese cuanto antes la Intervención, semejantes nuevas han hecho estallar el mas loco regocijo Pero.... por qué no confesarlo? A pesar de que la promesa de una pronta desocupación sin menoscabo del decoro nacional, ha sido hecha por hombres que merecen confianza, nosotros no escondemos nuestro recelo.",como todos los dominicanos se encuentran vivamente deseosos de que cese cuanto antes la intervencion semejantes nuevas han hecho estallar el mas loco regocijo pero por que no confesarlo a pesar de que la promesa de una pronta desocupacion sin menoscabo del decoro nacional ha sido hecha por hombres que merecen confianza nosotros no escondemos nuestro recelo,57
femina_000359,femina,359,colonialismo,intervención,"Como todos los dominicanos se encuentran vivamente deseosos de que cese cuanto antes la Intervención, semejantes nuevas han hecho estallar el mas loco regocijo Pero.... por qué no confesarlo? A pesar de que la promesa de una pronta desocupación sin menoscabo del decoro nacional, ha sido hecha por hombres que merecen confianza, nosotros no escondemos nuestro recelo.",como todos los dominicanos se encuentran vivamente deseosos de que cese cuanto antes la intervencion semejantes nuevas han hecho estallar el mas loco regocijo pero por que no confesarlo a pesar de que la promesa de una pronta desocupacion sin menoscabo del decoro nacional ha sido hecha por hombres que merecen confianza nosotros no escondemos nuestro recelo,57
femina_000361,femina,361,patria,soberanía,"Cada plan ofrecido por el detentador de nuestra soberanía, no ha sido hasta el presente sino una emboscada para la República.",cada plan ofrecido por el detentador de nuestra soberania no ha sido hasta el presente sino una emboscada para la republica,21
femina_000361,femina,361,colonialismo,soberanía,"Cada plan ofrecido por el detentador de nuestra soberanía, no ha sido hasta el presente sino una emboscada para la República.",cada plan ofrecido por el detentador de nuestra soberania no ha sido hasta el presente sino una emboscada para la republica,21
femina_000362,femina,362,patria,patriotismo,"Por suerte que el instinto de conservación ha dado á nuestro pueblo la voz de alerta, y nuestro patriotismo ha impedido realizar los torvos designios de la fuerza.",por suerte que el instinto de conservacion ha dado a nuestro pueblo la voz de alerta y nuestro patriotismo ha impedido realizar los torvos designios de la fuerza,28
femina_000362,femina,362,patria,pueblo,"Por suerte que el instinto de conservación ha dado á nuestro pueblo la voz de alerta, y nuestro patriotismo ha impedido realizar los torvos designios de la fuerza.",por suerte que el instinto de conservacion ha dado a nuestro pueblo la voz de alerta y nuestro patriotismo ha impedido realizar los torvos designios de la fuerza,28
